Fisier,Caracteristica,Cod,Axa,NOMINAL,+TOL,-TOL,MEAS,DEV,OUTTOL
SER_235338AAA597639.PDF,PAGINA 6,DIST13,M,1.100,0.100,0.100,1.123,0.023,0.000
SER_235338AAA597639.PDF,PAGINA 6,DIST15,M,1.100,0.100,0.100,1.112,0.012,0.000
SER_235338AAA597639.PDF,PAGINA 7,LOC36,R,0.500,0.100,0.100,0.488,-0.012,0.000
SER_235338AAA597639.PDF,PAGINA 7,LOC51,R,0.500,0.100,0.100,0.499,-0.001,0.000
SER_235338AAA597639.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.200,0.200,0.037,0.037,0.000
SER_235338AAA597639.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.200,0.200,0.038,0.038,0.000
SER_235338AAA597639.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.100,0.100,0.008,0.008,0.000
SER_235338AAA597639.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.100,0.100,0.004,0.004,0.000
SER_235338AAA597639.PDF,PAGINA 7,LOC37,R,1.500,0.050,0.050,1.508,0.008,0.000
SER_235338AAA597639.PDF,PAGINA 7,LOC4S,R,1.500,0.050,0.050,1.501,0.001,0.000
SER_235338AAA597639.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.100,0.100,0.019,0.019,0.000
SER_235338AAA597639.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.100,0.100,0.011,0.011,0.000
SER_235338AAA597639.PDF,PAGINA 8,DIST1,M,17.600,0.100,0.100,17.615,0.015,0.000
SER_235338AAA597639.PDF,PAGINA 8,DIST2,M,17.600,0.100,0.100,17.609,0.009,0.000
SER_235338AAA597639.PDF,PAGINA 8,FORMANDLOCATION,M,0.000,0.100,0.100,0.012,0.012,0.000
SER_235338AAA597639.PDF,PAGINA 8,FORMANDLOCATION,M,0.000,0.100,0.100,0.018,0.018,0.000
SER_235338AAA597639.PDF,PAGINA 8,FORMANDLOCATION,M,0.000,0.100,0.100,0.025,0.025,0.000
SER_235338AAA597639.PDF,PAGINA 8,FORMANDLOCATION,M,0.000,0.100,0.100,0.017,0.017,0.000
SER_235338AAA597639.PDF,PAGINA 9,DIST3,M,11.050,0.050,0.050,11.019,-0.031,0.000
SER_235338AAA597639.PDF,PAGINA 9,DIST14,M,11.050,0.050,0.050,11.020,-0.030,0.000
SER_235338AAA597639.PDF,PAGINA 9,DIST4,M,8.000,0.100,0.100,8.050,0.050,0.000
SER_235338AAA597639.PDF,PAGINA 9,DIST16,M,8.000,0.100,0.100,8.003,0.003,0.000
SER_235338AAA597639.PDF,PAGINA 9,nimicA,M,0.000,0.200,0.000,0.071,0.071,0.000
SER_235338AAA597639.PDF,PAGINA 9,nimicA,M,0.000,0.200,0.000,0.010,0.010,0.000
SER_235338AAA597639.PDF,PAGINA 9,nimicA,M,0.000,0.200,0.000,0.005,0.005,0.000
SER_235338AAA597639.PDF,PAGINA 9,nimicA,M,0.000,0.200,0.000,0.022,0.022,0.000
SER_235338AAA597639.PDF,PAGINA 9,nimicA,M,0.000,0.200,0.000,0.026,0.026,0.000
SER_235338AAA597640.PDF,PAGINA 1,LOC43,R,3.000,0.300,0.300,2.954,-0.046,0.000
SER_235338AAA597640.PDF,PAGINA 1,LOC44,R,3.000,0.300,0.300,2.971,-0.029,0.000
SER_235338AAA597640.PDF,PAGINA 1,LOC16,R,2.000,0.300,0.300,1.899,-0.101,0.000
SER_235338AAA597640.PDF,PAGINA 1,LOC17,R,2.000,0.300,0.300,1.860,-0.140,0.000
SER_235338AAA597640.PDF,PAGINA 1,DIST6,M,17.000,0.001,0.001,17.000,0.000,0.000
